Key,Term,Definition
CVL,CVL,Center for Vital Longevity
KK_KR,KK & KR,Dr. Kristen Kennedy and Dr. Karen Rodrigue
NB,N.B.,Nota bene - Latin for 'note well'
AIRC,AIRC,Advanced Imaging Research Center
BPI,BPI,Brain Performance Institute
KENROD,KENROD,Dr. Kristen Kennedy and Dr. Karen Rodrigue
DALLAS,DALLAS,Dallas Area Longitudinal Lifespan Aging Study
PAMS,PAMS,Preclinical Alzheimer’s MCI Study
JLBS,JLBS,Joint Longitudinal Brain Study
BHIC,BHIC,Brain Health Imaging Center
UTD,UTD,The University of Texas at Dallas
BBS,BBS,Behavioral and Brain Sciences
cvltech,CVL Tech,Technical Support for Center for Vital Longevity
VPN,VPN,Virtual Private Network
UTSW,UTSW,The University of Texas Southwestern Medical Center
SLURM,SLURM,Simple Linux Utility for Resource Management
SGE,SGE,Sun Grid Engine
CLI,CLI,Command Line Interface
OOD,OOD,Open OnDemand
GUI,GUI,Graphical User Interface
REDCap,REDCap,Research Electronic Data Capture